	10052.MG.F3.fa	10052.MG.F5.fa	10052.MG.F6.fa
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Anaerovibrio|otu209	0.000000e+00	0.000000e+00
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Starkeya|otu210	4.434590e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu211	4.093468e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter|otu212	3.411223e-04	2.452182e-04
otu213	0.000000e+00	3.187837e-03
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|otu214	0.000000e+00	1.716528e-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerofilum|otu215	0.000000e+00	2.206964e-03
Eukaryota|Florideophyceae[phylum]|Florideophyceae|Nemaliales|Liagoraceae|Yamadaella|otu216	0.000000e+00	3.187837e-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Pseudobacteroides|otu217	4.093468e-04	2.452182e-04
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|otu218	3.752345e-04	4.904365e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu219	2.387856e-04	7.356547e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu220	3.411223e-05	9.808730e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu221	0.000000e+00	1.961746e-03
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|otu222	6.822446e-05	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Youngiibacter|otu223	3.752345e-04	2.452182e-04
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|otu224	3.752345e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Garciella|otu225	3.752345e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu226	1.023367e-04	9.808730e-04
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella|otu227	3.411223e-05	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella|otu228	3.752345e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|otu229	2.728978e-04	7.356547e-04
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylocystaceae|Terasakiella|otu230	3.752345e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu231	2.728978e-04	4.904365e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Terrisporobacter|otu232	2.728978e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|otu233	3.411223e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|[Eubacterium] sulci[genus]|otu234	3.070101e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|otu235	2.387856e-04	9.808730e-04
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|otu236	1.023367e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu237	1.023367e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|otu238	3.411223e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu239	2.387856e-04	2.452182e-04
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|otu240	3.411223e-04	0.000000e+00
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bartonellaceae|Bartonella|otu241	3.411223e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu242	1.705611e-04	4.904365e-04
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|otu243	3.411223e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|otu244	2.387856e-04	0.000000e+00
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Bulleidia|otu245	3.411223e-05	2.206964e-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu246	2.387856e-04	4.904365e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Saccharofermentans|otu247	0.000000e+00	2.452182e-04
Bacteria|Cyanobacteria|Nostocales[class]|Nostocales|Rivulariaceae|Rivularia|otu248	0.000000e+00	9.808730e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Alkaliphilus|otu249	3.411223e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|otu250	2.387856e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|otu251	3.070101e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu252	6.822446e-05	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Robinsoniella|otu253	1.705611e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu254	2.387856e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu255	2.387856e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter|otu256	2.728978e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|otu257	2.728978e-04	2.452182e-04
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister|otu258	0.000000e+00	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu259	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter|otu260	1.705611e-04	9.808730e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu261	2.046734e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu262	2.387856e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|otu263	2.046734e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium|otu264	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu265	1.364489e-04	0.000000e+00
Bacteria|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|otu266	2.728978e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter|otu267	1.364489e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter|otu268	1.364489e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu269	6.822446e-05	1.226091e-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu270	1.023367e-04	4.904365e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|otu271	2.728978e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Robinsoniella|otu272	2.728978e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea|otu273	2.387856e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu274	1.023367e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu275	1.023367e-04	2.452182e-04
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium|otu276	1.364489e-04	9.808730e-04
Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|otu277	1.705611e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|otu278	2.728978e-04	0.000000e+00
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|otu279	2.387856e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|otu280	1.364489e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu281	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalicatena|otu282	2.387856e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|otu283	2.387856e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu284	2.046734e-04	2.452182e-04
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Tetrasphaera|otu285	1.705611e-04	2.452182e-04
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu286	3.411223e-05	4.904365e-04
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Ochrobactrum|otu287	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella|otu288	0.000000e+00	0.000000e+00
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Kribbella|otu289	0.000000e+00	1.716528e-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu290	3.411223e-05	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|otu291	1.364489e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerofilum|otu292	2.387856e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|otu293	2.046734e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu294	3.411223e-05	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus|otu295	1.364489e-04	4.904365e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|otu296	1.364489e-04	0.000000e+00
Bacteria|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|otu297	2.046734e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu298	6.822446e-05	7.356547e-04
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter|otu299	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|otu300	1.023367e-04	7.356547e-04
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu301	3.411223e-05	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter|otu302	6.822446e-05	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu303	2.046734e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu304	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|otu305	0.000000e+00	0.000000e+00
Bacteria|Cyanobacteria|Gloeobacteria|Gloeobacterales|Gloeobacteraceae|Gloeobacter|otu306	1.023367e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|otu307	1.364489e-04	4.904365e-04
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae|Anaerobiospirillum|otu308	1.364489e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus|otu309	2.046734e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu310	1.023367e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter|otu311	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|otu312	1.364489e-04	0.000000e+00
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium|otu313	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu314	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu315	1.023367e-04	2.452182e-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium|otu316	0.000000e+00	1.226091e-03
otu317	1.705611e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu318	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|otu319	0.000000e+00	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu320	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|otu321	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|otu322	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter|otu323	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae|Catabacter|otu324	1.705611e-04	0.000000e+00
Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|otu325	0.000000e+00	2.452182e-04
otu326	0.000000e+00	1.226091e-03
Bacteria|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|otu327	1.705611e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu328	1.364489e-04	0.000000e+00
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|otu329	1.705611e-04	0.000000e+00
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|otu330	0.000000e+00	0.000000e+00
Bacteria|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|otu331	0.000000e+00	0.000000e+00
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|otu332	0.000000e+00	1.226091e-03
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|otu333	1.023367e-04	0.000000e+00
otu334	0.000000e+00	1.226091e-03
